Instancia,Algoritmo,Tempo(s),EstadosAvaliados
Instancia_1,IDA*,4.10951,7681946
Instancia_2,IDA*,2.00962,3813981
Instancia_3,IDA*,59.5019,114867934
Instancia_4,IDA*,9.52598,18332201
Instancia_5,IDA*,1.10848,2092528
Instancia_6,IDA*,1.29658,2433659
Instancia_7,IDA*,123.267,229447826
Instancia_8,IDA*,5.81089,11063829
Instancia_9,IDA*,0.0359566,65209
Instancia_10,IDA*,26.9222,51842725
Instancia_11,IDA*,10.9057,20677034
Instancia_12,IDA*,0.117194,217352
Instancia_13,IDA*,0.353624,649217
Instancia_14,IDA*,9.74314,19293144
Instancia_15,IDA*,144.331,279445713
Instancia_16,IDA*,0.749177,1359411
Instancia_17,IDA*,93.603,185535806
Instancia_18,IDA*,3.26902,6289056
Instancia_19,IDA*,0.21878,398166
Instancia_20,IDA*,1.96319,3763645
Instancia_21,IDA*,18.6353,35072152
Instancia_22,IDA*,24.3963,45709379
Instancia_23,IDA*,0.352944,652943
Instancia_24,IDA*,8.11407,14930946
Instancia_25,IDA*,2.79766,5101368
Instancia_26,IDA*,23.7912,46154063
Instancia_27,IDA*,6.66239,12483087
Instancia_28,IDA*,0.869253,1613201
Instancia_29,IDA*,1.33597,2575518
Instancia_30,IDA*,0.394306,740132
Instancia_31,IDA*,0.24989,486859
Instancia_32,IDA*,75.1345,144114288
Instancia_33,IDA*,5.53094,10909924
Instancia_34,IDA*,0.280141,533422
Instancia_35,IDA*,6.03415,11587532
Instancia_36,IDA*,2.16698,4179500
Instancia_37,IDA*,7.10948,13529719
Instancia_38,IDA*,2.04142,3980283
Instancia_39,IDA*,1.6348,3002436
Instancia_40,IDA*,5.76181,10791619
Instancia_41,IDA*,7.51718,13897658
Instancia_42,IDA*,0.114181,210547
Instancia_43,IDA*,0.488047,980860
Instancia_44,IDA*,0.100056,192517
Instancia_45,IDA*,0.67608,1297936
Instancia_46,IDA*,0.290155,556050
Instancia_47,IDA*,0.0860708,162045
Instancia_48,IDA*,0.376309,713728
Instancia_49,IDA*,189.44,353200826
Instancia_50,IDA*,0.929817,1761448
Instancia_51,IDA*,2.91987,5530472
Instancia_52,IDA*,22.9117,43392762
Instancia_53,IDA*,75.9133,143846890
Instancia_54,IDA*,5.40658,10359352
Instancia_55,IDA*,0.0280388,50182
Instancia_56,IDA*,48.3236,89940418
Instancia_57,IDA*,1.89349,3564482
Instancia_58,IDA*,0.981417,1800229
Instancia_59,IDA*,16.2193,30266034
Instancia_60,IDA*,95.2993,190115782
Instancia_61,IDA*,0.198586,369283
Instancia_62,IDA*,19.1462,35886864
Instancia_63,IDA*,2.74374,5208861
Instancia_64,IDA*,10.4922,18867991
Instancia_65,IDA*,0.631905,1165954
Instancia_66,IDA*,166.857,319532271
Instancia_67,IDA*,16.3219,29600190
Instancia_68,IDA*,2.29833,4215605
Instancia_69,IDA*,0.684923,1300028
Instancia_70,IDA*,18.8231,34484639
Instancia_71,IDA*,0.0252094,45427
Instancia_72,IDA*,12.2471,23389133
Instancia_73,IDA*,0.599742,1134598
Instancia_74,IDA*,0.908825,1739950
Instancia_75,IDA*,1.57082,2845251
Instancia_76,IDA*,8.14883,15463286
Instancia_77,IDA*,2.86939,5369562
Instancia_78,IDA*,1.35032,2564202
Instancia_79,IDA*,0.204851,379098
Instancia_80,IDA*,29.7265,56062682
Instancia_81,IDA*,0.769297,1509905
Instancia_82,IDA*,103.408,200043992
Instancia_83,IDA*,0.160636,296517
Instancia_84,IDA*,12.9821,24276489
Instancia_85,IDA*,0.333668,616331
Instancia_86,IDA*,0.0978644,182472
Instancia_87,IDA*,2.59211,5013581
Instancia_88,IDA*,103.682,204064802
Instancia_89,IDA*,6.53388,12093684
Instancia_90,IDA*,1.07054,2065657
Instancia_91,IDA*,47.4873,90532397
Instancia_92,IDA*,14.1663,27366216
Instancia_93,IDA*,0.1681,312714
Instancia_94,IDA*,0.0378603,71723
Instancia_95,IDA*,0.356214,665564
Instancia_96,IDA*,0.423811,784718
Instancia_97,IDA*,0.109642,194241
Instancia_98,IDA*,60.5643,111309110
Instancia_99,IDA*,23.6673,45995471
Instancia_100,IDA*,33.8038,63772915
