Instancia,Algoritmo,Tempo(s),EstadosAvaliados
Instancia_1,IDA*,3.28969,2725302
Instancia_2,IDA*,2.16331,1857120
Instancia_3,IDA*,43.1711,37714997
Instancia_4,IDA*,7.10328,6221345
Instancia_5,IDA*,1.14716,976262
Instancia_6,IDA*,0.729936,627783
Instancia_7,IDA*,121.112,108245931
Instancia_8,IDA*,6.00305,5301850
Instancia_9,IDA*,0.0594822,47191
Instancia_10,IDA*,15.1093,13197766
Instancia_11,IDA*,9.17019,7831270
Instancia_12,IDA*,0.083223,61692
Instancia_13,IDA*,0.398742,348212
Instancia_14,IDA*,6.99421,6175410
Instancia_15,IDA*,100.366,85767342
Instancia_16,IDA*,0.902675,854118
Instancia_17,IDA*,44.0211,37501055
Instancia_18,IDA*,1.9723,1647700
Instancia_19,IDA*,0.217493,184889
Instancia_20,IDA*,2.23927,1968401
Instancia_21,IDA*,12.5925,10601738
Instancia_22,IDA*,10.0894,8881645
Instancia_23,IDA*,0.319916,286110
Instancia_24,IDA*,6.04651,5340795
Instancia_25,IDA*,1.98585,1751833
Instancia_26,IDA*,21.8775,19321558
Instancia_27,IDA*,3.19672,2849649
Instancia_28,IDA*,0.297513,246578
Instancia_29,IDA*,0.839432,749685
Instancia_30,IDA*,0.270289,230943
Instancia_31,IDA*,0.214486,175685
Instancia_32,IDA*,70.6163,62083588
Instancia_33,IDA*,4.2198,3461421
Instancia_34,IDA*,0.431168,370665
Instancia_35,IDA*,4.18964,3573271
Instancia_36,IDA*,2.28791,1952933
Instancia_37,IDA*,7.11862,5889194
Instancia_38,IDA*,1.20819,1045640
Instancia_39,IDA*,1.29797,1114968
Instancia_40,IDA*,5.36458,4503377
Instancia_41,IDA*,3.56675,3107098
Instancia_42,IDA*,0.091763,72621
Instancia_43,IDA*,0.245487,195105
Instancia_44,IDA*,0.165684,138280
Instancia_45,IDA*,0.589021,478369
Instancia_46,IDA*,0.348984,296942
Instancia_47,IDA*,0.0998602,77893
Instancia_48,IDA*,0.387982,325809
Instancia_49,IDA*,148.902,129299871
Instancia_50,IDA*,0.809683,676403
Instancia_51,IDA*,2.76415,2377554
Instancia_52,IDA*,24.9876,21658047
Instancia_53,IDA*,35.3608,29350524
Instancia_54,IDA*,3.56426,3063000
Instancia_55,IDA*,0.0231116,15000
Instancia_56,IDA*,32.9813,28888998
Instancia_57,IDA*,1.51349,1334244
Instancia_58,IDA*,0.936382,811912
Instancia_59,IDA*,9.18043,7910985
Instancia_60,IDA*,31.6933,27297847
Instancia_61,IDA*,0.225792,193692
Instancia_62,IDA*,6.1053,5199488
Instancia_63,IDA*,2.96525,2531316
Instancia_64,IDA*,8.09224,7271768
Instancia_65,IDA*,0.636902,558242
Instancia_66,IDA*,110.332,93626709
Instancia_67,IDA*,8.89297,8059221
Instancia_68,IDA*,1.89603,1641592
Instancia_69,IDA*,0.927959,785725
Instancia_70,IDA*,10.4533,9272886
Instancia_71,IDA*,0.0430747,31370
Instancia_72,IDA*,9.37272,8006588
Instancia_73,IDA*,0.144807,122573
Instancia_74,IDA*,0.653409,538842
Instancia_75,IDA*,1.99102,1759046
Instancia_76,IDA*,4.86928,4322765
Instancia_77,IDA*,2.07101,1711797
Instancia_78,IDA*,1.14403,950407
Instancia_79,IDA*,0.207499,175052
Instancia_80,IDA*,20.4499,17262301
Instancia_81,IDA*,0.640459,531612
Instancia_82,IDA*,87.2168,76432382
Instancia_83,IDA*,0.230707,200557
Instancia_84,IDA*,9.85971,8279740
Instancia_85,IDA*,0.354948,311054
Instancia_86,IDA*,0.137648,114454
Instancia_87,IDA*,2.97722,2568416
Instancia_88,IDA*,100.985,85869102
Instancia_89,IDA*,4.97524,4393706
Instancia_90,IDA*,1.2401,1088795
Instancia_91,IDA*,50.6531,44066049
Instancia_92,IDA*,12.0273,10458389
Instancia_93,IDA*,0.199133,164480
Instancia_94,IDA*,0.0602959,44090
Instancia_95,IDA*,0.234363,190203
Instancia_96,IDA*,0.381048,319935
Instancia_97,IDA*,0.134887,112010
Instancia_98,IDA*,37.6874,33701337
Instancia_99,IDA*,21.744,18607150
Instancia_100,IDA*,28.3389,24744378
